Hashes	sum.taxonomy
merged_vp2_Metazoa_16s_137	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_216	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_221	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_249	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_269	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_281	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_285	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_292	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_308	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_408	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_449	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_450	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_518	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_639	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
merged_vp2_Metazoa_16s_695	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
reverse_vp2_Metazoa_16s_33	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
reverse_vp2_Metazoa_16s_34	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
forward_vp2_Metazoa_16s_334	Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus europaeus
merged_vp2_Metazoa_16s_92	Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus europaeus
merged_vp2_Metazoa_16s_314	Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;
merged_vp2_Metazoa_16s_289	Eukaryota;Chordata;Mammalia;Cetacea;;;
merged_vp2_Metazoa_16s_495	Eukaryota;Chordata;Mammalia;Carnivora;Felidae;;
forward_vp2_Metazoa_16s_130	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
merged_vp2_Metazoa_16s_62	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
forward_vp2_Metazoa_16s_266	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;
merged_vp2_Metazoa_16s_97	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;
merged_vp2_Metazoa_16s_153	Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa
merged_vp2_Metazoa_16s_132	Eukaryota;Chordata;Mammalia;;Bovidae;;
merged_vp2_Metazoa_16s_404	Eukaryota;Chordata;Mammalia;;;;
merged_vp2_Metazoa_16s_424	Eukaryota;Chordata;Mammalia;;;;
merged_vp2_Metazoa_16s_553	Eukaryota;Chordata;Mammalia;;;;
merged_vp2_Metazoa_16s_598	Eukaryota;Chordata;Mammalia;;;;
merged_vp2_Metazoa_16s_160	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;;
merged_vp2_Metazoa_16s_496	Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;;
forward_vp2_Metazoa_16s_364	Eukaryota;Chordata;Aves;Passeriformes;;;
merged_vp2_Metazoa_16s_207	Eukaryota;Chordata;Aves;Passeriformes;;;
merged_vp2_Metazoa_16s_233	Eukaryota;Chordata;Aves;Passeriformes;;;
merged_vp2_Metazoa_16s_664	Eukaryota;Chordata;Aves;Passeriformes;;;
merged_vp2_Metazoa_16s_694	Eukaryota;Chordata;Aves;Passeriformes;;;
forward_vp2_Metazoa_16s_163	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
merged_vp2_Metazoa_16s_46	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
